"20191014_Toxoplasma_TMT_FullExperiment, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128N:126C.127C.127N, turborah.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128C:126C.127C.127N, turborah.mock.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129N:126C.127C.127N, turborah.toxo.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129C:126C.127C.127N, turborah.mock.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130N:126C.127C.127N, turborah.toxo.r3:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131N:126C.127C.127N, turborah.toxo.r4:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
	1.25	-0.579	3.204	3.139	2.938	2.821	2.715	3.381	2.704	3.69	Q9BXY0	Q9BXY0	1	2	2	2	Q9BXY0	HUMAN	35710.3	9	2780	2780.1	30.65	30.65	Protein MAK16 homolog	2	2	7.18E+08	9.00%
	0.614	-0.26	4.179	4.159	4.442	4.172	4.536	5.812	4.271	5.728	Q8WZA0-2	Q8WZA0-2	1	2	2	2	Q8WZA0-2|Q8WZA0	HUMAN	23982.1	14.6	2781	2781.1	30.65	30.65	Isoform 2 of Protein LZIC	2	2	8.90E+07	14.60%
0	0.971	-1.595	3.973	4.103	4.172	4.099	4.088	4.658	4.204	4.688	TGGT1_233245-t26_1-p1	TGGT1_233245	1	10	3	3	TGGT1_233245-t26_1-p1	Toxoplasma_gondii_GT1	290060.6	0.5	2782	2782.1	30.57	30.57	TGGT1_233245	3	10	1.04E+10	0.50%
0	0.151	-1.18	2.09	1.915	2.203	2.043	2.122	2.978	2.098	3.15	Q15397	Q15397	1	2	2	2	Q15397	HUMAN	73982.5	4.7	2783	2783.1	30.54	30.54	Pumilio homolog 3	2	2	26500000	4.70%
0	1.081	-1.057	3.871	3.7	3.891	3.66	3.968	5.595	4.029	5.608	O00534	O00534	1	4	3	3	O00534|B4DHS6|O00534-2|O00534-3	HUMAN	87229.4	4.8	2784	2784.1	30.48	30.48	von Willebrand factor A domain-containing protein 5A	3	4	1.45E+08	4.80%
0	0.718	-0.791	4.579	4.119	4.523	4.25	4.54	5.951	4.507	6.114	P62328	P62328	1	2	2	2	P62328	HUMAN	5052.6	31.8	2785	2785.1	30.45	30.45	Thymosin beta-4	2	2	2.75E+08	31.80%
0	1.974	-3.761	-0.347	-0.099	-0.638	1.009	0.031	1.118	-0.387	1.509	Q9BPX3	Q9BPX3	1	6	3	3	Q9BPX3	HUMAN	115416.1	2.6	2786	2786.1	30.41	30.41	Condensin complex subunit 3	3	6	9.19E+08	2.60%
0	0.421	-0.912	3.011	1.505	2.54	1.544	2.909	3.226	2.946	3.336	TGGT1_215220-t26_1-p1	TGGT1_215220	1	3	2	2	TGGT1_215220-t26_1-p1	Toxoplasma_gondii_GT1	55396.9	4.5	2787	2787.1	30.39	30.39	TGGT1_215220	2	3	1.65E+08	4.50%
0	0.244	-0.725	2.572	2.615	2.932	2.957	2.986	3.152	2.665	3.407	Q9NXV6	Q9NXV6	1	3	2	2	Q9NXV6	HUMAN	61580.3	5.8	2788	2788.1	30.38	30.38	CDKN2A-interacting protein	2	3	41700000	5.80%
0.016	0.08	-1.019	3.012	3.188	3.166	3.24	3.192	3.533	3.275	3.664	Q9Y3D3	Q9Y3D3	1	3	3	3	Q9Y3D3	HUMAN	15572.8	22.6	2789	2789.1	30.38	30.38	28S ribosomal protein S16 mitochondrial	3	3	1.50E+08	22.60%
0.641	0	-0.772	2.005	1.906	2.095	2.065	2.014	3.096	2.062	3.21	E1BH06	E1BH06	1	3	3	3	E1BH06|F1MVK1|A0A0G2JPR0|P0C0L4|P0C0L5|A0A140TA49|A0A140TA32|P0C0L4-2|A0A140TA44|A0A0G2JL54|F5GXS0|A0A140TA29|P01030	BOVIN	194473.1	2	2790	2790.1	30.37	30.37	Uncharacterized protein	3	3	1.10E+09	2.00%
	0.762	-0.562	3.011	2.913	2.161	1.638	1.74	3.111	2.18	3.617	Q96S38	Q96S38	1	4	3	3	Q96S38|Q96S38-2|F6RJM5|F5H7T0|A0A087X1U5	HUMAN	119593.1	3.5	2791	2791.1	30.36	30.36	Ribosomal protein S6 kinase delta-1	3	4	1.64E+08	3.50%
0	0.342	-0.739	0.887	-0.103	1.019	-0.112	0.954	0.731	0.767	0.951	TGGT1_305980-t26_1-p1	TGGT1_305980	1	3	3	3	TGGT1_305980-t26_1-p1	Toxoplasma_gondii_GT1	67520.5	5.9	2792	2792.1	30.35	30.35	TGGT1_305980	3	3	1.74E+09	5.90%
0	0.149	-0.95	4.199	3.874	4.222	4.229	4.198	3.828	4.273	4.159	Q14146	Q14146	1	4	3	3	Q14146|G3XAI2|P07942|E7EPA6|A0A0A0MS02	HUMAN	172480.8	1.4	2793	2793.1	30.3	30.3	Unhealthy ribosome biogenesis protein 2 homolog	3	4	1.54E+09	1.40%
0	0.899	-1.409	2.593	2.517	2.706	2.707	2.765	3.743	2.675	3.888	Q8IY37	Q8IY37	1	3	3	3	Q8IY37|F5H3Y4	HUMAN	130627.1	2.7	2794	2794.1	30.13	30.13	Probable ATP-dependent RNA helicase DHX37	3	3	5.53E+08	2.70%
0	1.382	-0.759	3.653	3.653	4.216	4.427	3.917	5.738	3.615	5.821	Q9H4G0-2	Q9H4G0-2	1	5	3	3	Q9H4G0-2|Q9H4G0-3|Q9H4G0-4|Q9H4G0|A0A0C4DH22	HUMAN	88214.2	4.1	2795	2795.1	30.12	30.12	Isoform 2 of Band 4.1-like protein 1	3	5	1.90E+08	4.10%
	0.119	-0.165	2.189	2.379	2.579	2.462	2.771	4.086	2.397	4.235	Q9UKJ3	Q9UKJ3	1	2	2	2	Q9UKJ3|Q9UKJ3-2	HUMAN	165107.3	2	2796	2796.1	30.06	30.06	G patch domain-containing protein 8	2	2	7390000	2.00%
0	0.27	-0.517	3.125	2.814	3.426	3.128	3.257	3.635	3.242	3.743	Q7L311	Q7L311	1	4	3	3	Q7L311	HUMAN	65967.6	4.9	2797	2797.1	30.05	30.05	Armadillo repeat-containing X-linked protein 2	3	4	1.12E+08	4.90%
	0.319	-1.681	2.708	2.862	2.888	2.705	2.732	4.155	2.837	4.544	Q15370-2	Q15370-2	1	2	2	2	Q15370-2|Q15370|B8ZZU8	HUMAN	18139.1	27.3	2798	2798.1	30.05	30.05	Isoform 2 of Elongin-B	2	2	24100000	27.30%
0.048	0	-1.197	2.646	2.719	2.727	2.733	2.867	3.421	2.8	3.507	Q32P41	Q32P41	1	8	4	4	Q32P41	HUMAN	58587.5	6	2799	2799.1	29.91	29.91	tRNA (guanine(37)-N1)-methyltransferase	4	8	2.01E+09	6.00%
0	0.403	-0.551	3.413	3.796	3.803	3.46	3.75	3.781	3.466	3.673	Q92508	Q92508	1	4	3	3	Q92508	HUMAN	290036.4	1.1	2800	2800.1	29.9	29.9	Piezo-type mechanosensitive ion channel component 1	3	4	1.11E+08	1.10%
0.124	0.075	-0.846	1.922	0.618	1.959	0.852	2.106	3.187	2.002	3.277	TGGT1_266060-t26_1-p1	TGGT1_266060	1	2	2	2	TGGT1_266060-t26_1-p1	Toxoplasma_gondii_GT1	31739.6	8	2801	2801.1	29.9	29.9	TGGT1_266060	2	2	23500000	8.00%
	0.212	0	2.165	2.699	2.375	2.315	1.582	2.612	2.486	3.108	A0A087X295	A0A087X295	1	3	2	2	A0A087X295|Q9NNW5|E9PDU5|E9PBK6	HUMAN	126995.9	2.6	2802	2802.1	29.89	29.89	WD repeat-containing protein 6	2	3	7.60E+07	2.60%
											O43741	O43741	1	1	1	1	O43741|O43741-2	HUMAN	30415.8	11	2803	2803.1	29.88	29.88	5'-AMP-activated protein kinase subunit beta-2	1	1	11200000	11.00%
-0.471	0.396	0	3.223	3.318	3.262	3.888	3.399	2.944	3.174	3.347	Q6PJP8	Q6PJP8	1	5	4	4	Q6PJP8	HUMAN	117995	3.8	2804	2804.1	29.83	29.83	DNA cross-link repair 1A protein	4	5	66200000	3.80%
0	0.287	-0.861	2.927	2.996	3.012	2.877	3.031	3.68	2.983	3.679	P98194-7	P98194-7	1	3	3	3	P98194-7|P98194-6|B4E2Q0|P98194-9|P98194-8|P98194-5|P98194-3|P98194|P98194-4|P98194-2	HUMAN	108339.1	4.7	2805	2805.1	29.75	29.75	Isoform 7 of Calcium-transporting ATPase type 2C member 1	3	3	67300000	4.70%
0.213	0.422	-0.389	3.915	3.737	3.934	3.936	3.955	4.62	3.976	4.744	Q14241	Q14241	1	2	2	2	Q14241|A0A024RAC6	HUMAN	90363.7	3.1	2806	2806.1	29.73	29.73	Elongin-A	2	2	4.10E+07	3.10%
0	0.802	-1.675	3.919	4.108	4.393	4.178	4.112	2.834	3.867	2.989	TGGT1_214960-t26_1-p1	TGGT1_214960	1	5	3	3	TGGT1_214960-t26_1-p1	Toxoplasma_gondii_GT1	403125.9	0.8	2807	2807.1	29.67	29.67	TGGT1_214960	3	5	1.30E+09	0.80%
0.429	0.926	-1.368	4.234	4.096	4.349	4.453	4.262	4.044	4.288	3.965	Q14118	Q14118	1	3	2	2	Q14118	HUMAN	97782	2.6	2808	2808.1	29.65	29.65	Dystroglycan	2	3	89100000	2.60%
	0.736	-1.361	2.953	2.669	2.876	2.628	2.652	4.452	2.726	4.506	Q16881	Q16881	1	2	2	2	Q16881|A0A087WSY9|Q16881-6|Q16881-3|A0A182DWI3|Q16881-4|A0A087WSW9|Q16881-2|Q16881-5|F8W809|E9PIR7|Q16881-7|E2QRB9	HUMAN	71861	3.8	2809	2809.1	29.64	29.64	Thioredoxin reductase 1 cytoplasmic	2	2	83300000	3.80%
0	0.574	-1.23	2.588	3.402	2.513	2.561	2.487	3.72	2.521	3.681	P51665	P51665	1	3	2	2	P51665|H3BTM8|H3BNT7	HUMAN	37081.8	6.4	2810	2810.1	29.62	29.62	26S proteasome non-ATPase regulatory subunit 7	2	3	1.02E+08	6.40%
0.026	0.107	-1.623	2.281	2.263	2.385	2.517	2.388	3.651	2.265	3.715	Q9UNM6-2	Q9UNM6-2	1	2	2	2	Q9UNM6-2|Q9UNM6|J3KNQ3|A0A087WUL9	HUMAN	43284	4.7	2811	2811.1	29.54	29.54	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 13	2	2	8.49E+08	4.70%
	1.142	-0.743	3.465	3.022	3.544	3.237	3.597	6.16	3.647	6.154	Q6P1R3	Q6P1R3	1	2	2	2	Q6P1R3|Q6P1R3-3|E9PPE2|B4E1M0|Q6P1R3-2	HUMAN	61945.8	7.1	2812	2812.1	29.52	29.52	Myb/SANT-like DNA-binding domain-containing protein 2	2	2	2.05E+08	7.10%
0.727	-0.041	-0.338	2.191	2.242	2.264	2.603	2.279	2.541	2.187	2.557	Q8WUA7	Q8WUA7	1	6	3	3	Q8WUA7|A0A0A0MRY0|Q8WUA7-4|B0QYI1|Q8WUA7-2|Q8WUA7-3	HUMAN	59462.2	5.8	2813	2813.1	29.49	29.49	TBC1 domain family member 22A	3	6	4.66E+08	5.80%
0	0.872	-0.806	2.679	3.168	2.736	2.633	2.843	4.582	2.67	4.684	O14524	O14524	1	5	3	3	O14524|O14524-2|G3V5K2	HUMAN	51437.8	6.5	2814	2814.1	29.48	29.48	Nuclear envelope integral membrane protein 1	3	5	7.77E+08	6.50%
	0.727	-0.395	3.951	3.996	3.264	3.823	3.492	4.481	3.918	4.606	Q8TEQ8	Q8TEQ8	1	2	2	2	Q8TEQ8|Q8TEQ8-2	HUMAN	119609.5	3.2	2815	2815.1	29.47	29.47	GPI ethanolamine phosphate transferase 3	2	2	21900000	3.20%
-0.091	1.124		2.252	2.93	2.71	2.063	2.148	3.865	2.536	3.796	Q96QT6	Q96QT6	1	2	2	2	Q96QT6|Q96QT6-4|Q96QT6-5|Q96QT6-3|C9J9G2|Q96QT6-2	HUMAN	111750.5	3	2816	2816.1	29.45	29.45	PHD finger protein 12	2	2	9680000	3.00%
0	0.171	-0.425	4.488	4.303	4.687	4.185	4.858	4.133	4.595	4.072	P53794	P53794	1	3	2	2	P53794	HUMAN	80548.3	2.3	2817	2817.1	29.43	29.43	Sodium/myo-inositol cotransporter	2	3	2.32E+08	2.30%
0	1.602	-0.949	3.526	4.08	3.48	3.733	3.528	4.856	3.635	5.032	Q12882	Q12882	1	2	2	2	Q12882|Q12882-2	HUMAN	113453.4	2.7	2818	2818.1	29.39	29.39	Dihydropyrimidine dehydrogenase [NADP(+)]	2	2	78900000	2.70%
0	0.741	-1.437	2.439	2.77	2.689	2.28	2.591	3.927	2.677	3.899	Q6P1A2	Q6P1A2	1	2	2	2	Q6P1A2|F5H0M4|Q6P1A2-2|F5GYT3|B7Z3N5|F5H7K7|F5H680	HUMAN	56547.4	7.8	2819	2819.1	29.35	29.35	Lysophospholipid acyltransferase 5	2	2	38100000	7.80%
-0.046	0.463		2.309	1.964	2.176	2.45	2.31	1.934	2.052	2.373	Q8N1G4	Q8N1G4	1	2	2	2	Q8N1G4	HUMAN	64042.3	2.7	2820	2820.1	29.35	29.35	Leucine-rich repeat-containing protein 47	2	2	18200000	2.70%
0	0.696	-0.181	2.604	2.23	2.594	2.905	2.738	2.829	2.515	3.037	Q9HCM3	Q9HCM3	1	4	4	4	Q9HCM3|Q9HCM3-2|Q9HCM3-4|Q9HCM3-3	HUMAN	211379.1	2.5	2821	2821.1	29.33	29.33	UPF0606 protein KIAA1549	4	4	39100000	2.50%
0	0.509	-1.379	2.855	3.05	2.349	2.555	2.737	3.992	2.692	4.357	P51116	P51116	1	4	2	2	P51116	HUMAN	74564.3	3.5	2822	2822.1	29.32	29.32	Fragile X mental retardation syndrome-related protein 2	2	4	4.68E+08	3.50%
0	0.231	-0.82	2.537	2.382	2.641	2.627	2.741	3.391	2.736	3.572	Q13257	Q13257	1	3	3	3	Q13257|Q13257-2	HUMAN	23680.7	11.7	2823	2823.1	29.31	29.31	Mitotic spindle assembly checkpoint protein MAD2A	3	3	4.92E+08	11.70%
0.108	0.272	-0.341	4.222	3.702	3.951	3.774	3.995	4.862	4.104	4.896	P61604	P61604	1	4	2	2	P61604|B8ZZ54	HUMAN	10931.5	18.6	2824	2824.1	29.29	29.29	10 kDa heat shock protein mitochondrial	2	4	1.55E+08	18.60%
0.293	0.6	-0.138	2.223	2.536	2.498	2.812	2.488	3.571	2.412	3.819	A0A1B0GUN5	A0A1B0GUN5	1	2	2	2	A0A1B0GUN5|Q5VTI5|Q9Y2H5	HUMAN	131629.9	1.5	2825	2825.1	29.26	29.26	Pleckstrin homology domain-containing family A member 6	2	2	3.30E+07	1.50%
0	0.501	-1.469	4.856	4.423	5.531	4.695	5.073	3.854	4.769	3.881	Q08722	Q08722	1	4	2	2	Q08722|Q08722-4|Q08722-3|Q08722-2	HUMAN	35612.4	5.8	2826	2826.1	29.26	29.26	Leukocyte surface antigen CD47	2	4	2.94E+08	5.80%
0.269	0	-0.749	1.747	1.593	2.044	1.763	1.894	1.6	1.817	1.692	Q9BRJ2	Q9BRJ2	1	3	3	3	Q9BRJ2|A0A087X2D5|A0A0G2JMS5|A0A087WU62	HUMAN	35635.5	10.7	2827	2827.1	29.25	29.25	39S ribosomal protein L45 mitochondrial	3	3	3.40E+08	10.70%
0	0.138	-0.681	3.418	3.295	3.337	3.489	3.492	3.974	3.405	4.225	Q96K49	Q96K49	1	4	3	3	Q96K49|Q96K49-2	HUMAN	64219.7	4.8	2828	2828.1	29.2	29.2	Transmembrane protein 87B	3	4	2.60E+08	4.80%
-0.038	0.93	0	2.236	1.869	1.802	2.241	1.4	5.76	2.107	5.816	O15231-6	O15231-6	1	3	3	3	O15231-6|O15231-8|O15231-3|O15231|O15231-7|O15231-4|H7BZT5|O15231-5|O15231-2|O15231-9	HUMAN	77882.8	5.4	2829	2829.1	29.15	29.15	Isoform 6 of Zinc finger protein 185	3	3	73600000	5.40%
0.283	0.6	-0.347	3.016	2.334	3.185	2.083	3.007	4.595	3.496	4.981	TGGT1_312480-t26_1-p1	TGGT1_312480	1	3	2	2	TGGT1_312480-t26_1-p1	Toxoplasma_gondii_GT1	27988.2	9.4	2830	2830.1	29.14	29.14	TGGT1_312480	2	3	5.24E+08	9.40%
	0.723		1.939	2.75	2.184	1.801	2.277	3.427	2.331	3.637	Q15269	Q15269	1	2	2	2	Q15269|A0A0B4J2E5	HUMAN	103420.1	3.1	2831	2831.1	29.12	29.12	Periodic tryptophan protein 2 homolog	2	2	11200000	3.10%
0.145	0.085	-0.15	4.055	4.003	4.091	4.211	4.07	3.866	4.12	4.12	Q53F19	Q53F19	1	2	2	2	Q53F19|Q53F19-2	HUMAN	70705.4	3.2	2832	2832.1	29.11	29.11	Nuclear cap-binding protein subunit 3	2	2	75700000	3.20%
	1.248	-0.865	4.527	4.405	4.45	4.618	4.634	4.546	4.593	4.558	Q9BTU6	Q9BTU6	1	3	2	2	Q9BTU6|E9PAM4	HUMAN	54420.7	4.8	2833	2833.1	29.1	29.1	Phosphatidylinositol 4-kinase type 2-alpha	2	3	43900000	4.80%
0.353	0.014	-0.954	2.47	2.213	2.369	2.235	2.384	2.205	2.364	2.386	O95202	O95202	1	2	2	2	O95202	HUMAN	84037.3	4.6	2834	2834.1	29.1	29.1	Mitochondrial proton/calcium exchanger protein	2	2	7620000	4.60%
0	0.468	-0.28	2.875	2.841	3.289	3.091	3.048	4.248	3.348	4.375	Q9HAU5	Q9HAU5	1	5	3	3	Q9HAU5|Q9HAU5-2	HUMAN	149062.6	2.5	2835	2835.1	29.08	29.08	Regulator of nonsense transcripts 2	3	5	4.18E+08	2.50%
0	0.643	-0.661	2.445	2.788	2.758	2.585	2.837	4.51	2.757	4.696	Q9UN86	Q9UN86	1	4	3	3	Q9UN86|Q9UN86-2	HUMAN	54177.2	7.8	2836	2836.1	29.07	29.07	Ras GTPase-activating protein-binding protein 2	3	4	82300000	7.80%
0.091	0.054	-0.943	0.935	0.99	0.9	1.517	0.739	1.302	0.695	1.503	A0A1W2PQS6	A0A1W2PQS6	1	4	2	2	A0A1W2PQS6|F6U211|P46783	HUMAN	33197.3	6.1	2837	2837.1	29.02	29.02	RPS10-NUDT3 readthrough	2	4	1.04E+08	6.10%
0.124	0	-1.205	1.956	1.018	2.167	1.484	1.693	2.77	1.819	2.666	TGGT1_230160-t26_1-p1	TGGT1_230160	1	3	3	3	TGGT1_230160-t26_1-p1	Toxoplasma_gondii_GT1	15901.5	23.9	2838	2838.1	29.02	29.02	TGGT1_230160	3	3	1.01E+08	23.90%
0	1.209		3.886	3.647	4.113	3.895	4.048	5.826	3.929	5.92	Q15847	Q15847	1	3	1	1	Q15847	HUMAN	7854.6	40.7	2839	2839.1	29.01	29.01	Adipogenesis regulatory factor	1	3	1.71E+08	40.70%
0	0.81	-1.068	2.945	2.978	3.283	3.084	3.309	5.955	3.358	5.951	Q9P266	Q9P266	1	3	3	3	Q9P266	HUMAN	149432.2	3.1	2840	2840.1	29.01	29.01	Junctional protein associated with coronary artery disease	3	3	1.43E+08	3.10%
0	0.393	-1.504	3.106	3.042	3.317	3.187	3.268	4.285	3.267	4.13	Q9Y6R4	Q9Y6R4	1	4	3	3	Q9Y6R4|F5H538|Q9Y6R4-2|J3KNB8|F5H4R1|F5H1X6	HUMAN	183393.1	2.4	2841	2841.1	28.97	28.97	Mitogen-activated protein kinase kinase kinase 4	3	4	2.30E+08	2.40%
	0.37	-0.518	3.487	3.376	3.396	3.339	3.599	5.368	3.392	5.397	O14802	O14802	1	3	2	2	O14802	HUMAN	157635.6	2.5	2842	2842.1	28.9	28.9	DNA-directed RNA polymerase III subunit RPC1	2	3	19800000	2.50%
	0.173		1.505	1.904	2.063	2.461	1.661	2.105	2.259	2.304	Q9NVH2	Q9NVH2	1	3	2	2	Q9NVH2|Q9NVH2-2|Q9NVH2-3|Q9NVH2-4	HUMAN	108087.2	2.8	2843	2843.1	28.9	28.9	Integrator complex subunit 7	2	3	41600000	2.80%
0.811	-0.445	0	0.585	0.69	1.134	1.25	0.365	1.215	0.414	1.272	P00488	P00488	1	2	2	2	P00488	HUMAN	83779.3	2.5	2844	2844.1	28.89	28.89	Coagulation factor XIII A chain	2	2	55100000	2.50%
0	0.64	-1.485	4.489	4.423	4.706	4.487	4.55	3.784	4.847	3.974	O60858-3	O60858-3	1	4	2	2	O60858-3|O60858	HUMAN	48187.9	7	2845	2845.1	28.88	28.88	Isoform 3 of E3 ubiquitin-protein ligase TRIM13	2	4	1.47E+08	7.00%
0.096	0.264	-1.028	2.556	2.766	2.761	2.612	2.639	3.746	2.694	4.064	P45985-2	P45985-2	1	3	2	2	P45985-2|P45985	HUMAN	46096.9	6.8	2846	2846.1	28.87	28.87	Isoform 2 of Dual specificity mitogen-activated protein kinase kinase 4	2	3	24400000	6.80%
	0.874	-0.346	4.497	4.238	3.925	4.299	4.416	3.487	4.446	3.702	Q9UBV7	Q9UBV7	1	3	2	2	Q9UBV7|D6RJI5	HUMAN	37861.6	6.1	2847	2847.1	28.86	28.86	Beta-14-galactosyltransferase 7	2	3	66100000	6.10%
0	0.245	-1.651	2.647	2.635	2.734	2.786	2.686	3.643	2.795	3.739	O75947	O75947	1	5	2	2	O75947|O75947-2|F5H608	HUMAN	18547.9	16.1	2848	2848.1	28.86	28.86	ATP synthase subunit d mitochondrial	2	5	6.83E+08	16.10%
0.12	-0.032	0	2.443	2.74	2.358	2.596	2.549	2.671	2.217	3.094	Q5T0F9	Q5T0F9	1	5	3	3	Q5T0F9|Q5T0F9-2|Q5T0F9-3|Q5T0F9-4	HUMAN	94451	3.6	2849	2849.1	28.79	28.79	Coiled-coil and C2 domain-containing protein 1B	3	5	2.31E+08	3.60%
		0.248	2.109	1.927	2.161	1.706	0.646	2.111	3.203	3.559	P50395	P50395	1	2	2	2	P50395|P50395-2|P31150	HUMAN	51118.8	6.7	2850	2850.1	28.76	28.76	Rab GDP dissociation inhibitor beta	2	2	57500000	6.70%
											Q9BY32	Q9BY32	1	2	2	2	Q9BY32|Q9BY32-2|Q9BY32-3	HUMAN	21844.6	18	2851	2851.1	28.63	28.63	Inosine triphosphate pyrophosphatase	2	2	11400000	18.00%
0	0.478	-0.404	2.634	2.659	2.336	2.609	2.39	3.809	2.742	3.831	Q9H4L4	Q9H4L4	1	3	2	2	Q9H4L4|A0A087X0R7	HUMAN	65636.2	5.5	2852	2852.1	28.6	28.6	Sentrin-specific protease 3	2	3	54400000	5.50%
0	0.06	-1.007	3.253	3.138	3.252	3.205	3.419	4.07	3.052	3.962	P00846	P00846	1	3	2	2	P00846	HUMAN	24816.8	7	2853	2853.1	28.6	28.6	ATP synthase subunit a	2	3	9.90E+07	7.00%
0.531	0	-0.263	1.911	1.814	1.208	0.217	0.315	-0.11	2.046	1.87	Q10713	Q10713	1	3	2	2	Q10713	HUMAN	58765.4	4.7	2854	2854.1	28.57	28.57	Mitochondrial-processing peptidase subunit alpha	2	3	15900000	4.70%
0	0.525	-1.248	2.157	1.999	2.297	2.186	2.178	2.916	2.165	3.123	TGGT1_218410-t26_1-p1	TGGT1_218410	1	3	3	3	TGGT1_218410-t26_1-p1	Toxoplasma_gondii_GT1	34271	10.1	2855	2855.1	28.57	28.57	TGGT1_218410	3	3	1.04E+08	10.10%
0	0.3	-1.313	2.356	2.496	2.418	2.362	2.383	3.801	2.425	3.947	E9PEB5	E9PEB5	1	3	2	2	E9PEB5|Q96AE4-2|Q96AE4	HUMAN	69073.8	3.9	2856	2856.1	28.55	28.55	Far upstream element-binding protein 1	2	3	92600000	3.90%
0	0.247	-1.014	3.658	3.866	4.171	3.976	3.957	2.533	3.809	2.829	TGGT1_241130-t26_1-p1	TGGT1_241130	1	9	3	3	TGGT1_241130-t26_1-p1|Q8IXM3	Toxoplasma_gondii_GT1	262999.7	0.7	2857	2857.1	28.53	28.53	TGGT1_241130	4	9	1.11E+09	0.70%
	0.185	-1.104	1.977	2.331	2.066	2.35	2.179	3.433	2.517	3.582	Q12929	Q12929	1	2	2	2	Q12929|Q12929-2	HUMAN	92222.2	5.2	2858	2858.1	28.5	28.5	Epidermal growth factor receptor kinase substrate 8	2	2	4.80E+07	5.20%
0	0.883	-0.327	3.267	3.149	3.24	3.166	3.46	4.568	3.27	4.685	P50750-2	P50750-2	1	6	3	3	P50750-2|P50750	HUMAN	53763.6	6.9	2859	2859.1	28.47	28.47	Isoform 2 of Cyclin-dependent kinase 9	3	6	1.56E+09	6.90%
0	0.216		2.146	2.345	2.78	2.169	2.339	3.7	2.107	3.736	Q9BRS2	Q9BRS2	1	3	2	2	Q9BRS2	HUMAN	65924.2	4.2	2860	2860.1	28.46	28.46	Serine/threonine-protein kinase RIO1	2	3	53700000	4.20%
0.133	0	-1.449	3.688	3.526	3.778	3.617	3.826	4.143	3.82	4.248	Q7Z699	Q7Z699	1	2	2	2	Q7Z699|Q7Z698|Q7Z698-2	HUMAN	51788.2	7.6	2861	2861.1	28.45	28.45	Sprouty-related EVH1 domain-containing protein 1	2	2	41500000	7.60%
-0.028	1.166		1.285	2.612	2.122	1.221	1.468	2.735	1.54	2.767	Q8NFZ5	Q8NFZ5	1	2	2	2	Q8NFZ5|D6RGJ2|Q8NFZ5-2	HUMAN	49269.3	7.6	2862	2862.1	28.45	28.45	TNFAIP3-interacting protein 2	2	2	8690000	7.60%
0.006	0.15	-0.406	0.706	0.705	0.917	1.058	0.877	0.079	0.977	0.099	Q5VTL8	Q5VTL8	1	4	3	3	Q5VTL8|Q5VTL8-2|A0A0A0MRN0	HUMAN	64695	4.3	2863	2863.1	28.41	28.41	Pre-mRNA-splicing factor 38B	3	4	30100000	4.30%
0	0.69	-0.146	2.566	2.483	2.742	2.186	2.349	3.387	2.537	3.384	Q6UWP7	Q6UWP7	1	4	2	2	Q6UWP7|Q6UWP7-3|Q6UWP7-2	HUMAN	49375.7	3.8	2864	2864.1	28.41	28.41	Lysocardiolipin acyltransferase 1	2	4	1.23E+08	3.80%
0	0.71	-0.86	3.043	3	2.972	2.994	3.211	4.102	3.054	4.186	G3V325	G3V325	1	5	2	2	G3V325|C9JU26|P56134|P56134-2|P56134-3|C9JJT5|P56134-4	HUMAN	84736	3.2	2865	2865.1	28.38	28.38	ATP5J2-PTCD1 readthrough	2	5	1.86E+08	3.20%
0	0.69	-0.508	2.53	2.397	2.701	2.613	2.646	3.743	2.75	3.751	Q6P1K8	Q6P1K8	1	2	2	2	Q6P1K8|Q13888|D6RJD3|D6RGC9|D6RIT7|D6RAW1	HUMAN	45535.3	5.8	2866	2866.1	28.38	28.38	General transcription factor IIH subunit 2-like protein	2	2	61700000	5.80%
