20191004_Toxoplasma_PMV_TMT, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 128N:126C.127C.127N, turborah.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 128C:126C.127C.127N, turborah.mock.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 129N:126C.127C.127N, turborah.toxo.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 129C:126C.127C.127N, turborah.mock.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 130N:126C.127C.127N, turborah.toxo.r3:control.mean	20191004_Toxoplasma_PMV_TMT, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 131N:126C.127C.127N, turborah.toxo.r4:control.mean	20191004_Toxoplasma_PMV_TMT, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191004_Toxoplasma_PMV_TMT unique_peptides	20191004_Toxoplasma_PMV_TMT numSpectra	20191004_Toxoplasma_PMV_TMT totalIntensity	20191004_Toxoplasma_PMV_TMT pct_cov
0.133	0	-0.955	1.673	1.662	1.844	2.267	1.838	2.139	1.753	2.507	Q13423	Q13423	1	2	2	2	Q13423|E9PCX7	HUMAN	114635.3	1.7	1774	1774.1	20.97	20.97	NAD(P) transhydrogenase mitochondrial	2	2	64100000	1.7%
0.612		-1.12	2.388	2.878	2.851	2.863	2.435	3.57	2.793	3.693	Q9P0M6	Q9P0M6	1	1	1	1	Q9P0M6|O75367|O75367-3|O75367-2|D6RCF2	HUMAN	40285.7	4.5	1775	1775.1	20.96	20.96	Core histone macro-H2A.2	1	1	38500000	4.5%
0	0.748	-0.968	2.887	2.635	2.931	2.787	3.069	5.298	3.081	5.163	TGGT1_269885A-t26_1-p1	TGGT1_269885A-t26_1-p1	1	3	2	2	TGGT1_269885A-t26_1-p1|TGGT1_269885B-t26_1-p1	Toxoplasma_gondii_GT1	142639.9	2.6	1776	1776.1	20.94	20.94	TGGT1_269885A	2	3	3.64e+08	2.6%
0.226	0.249	-0.685	2.592	2.485	2.789	2.419	2.632	2.576	2.645	2.763	P25686	P25686	1	2	2	2	P25686|P25686-2|A0A0J9YX62|O75190|O75190-3|O75190-4|O75190-2|Q8NHS0	HUMAN	35693.5	6.7	1777	1777.1	20.93	20.93	DnaJ homolog subfamily B member 2	2	2	31500000	6.7%
0	0.618	-0.741	3.378	3.247	3.527	3.422	3.559	4.641	3.541	4.797	X6R8A1	X6R8A1	1	2	2	2	X6R8A1|P10619|X6R5C5|P10619-2	HUMAN	56745.4	3.8	1778	1778.1	20.91	20.91	Carboxypeptidase	2	2	1e+08	3.8%
	0.269	-1.309	2.521	2.783	2.809	2.518	2.635	3.821	3.673	4.705	P23219-6	P23219-6	1	1	1	1	P23219-6|P23219-5|P23219|P23219-2|A0A087X296|P23219-3|P23219-4	HUMAN	72864.5	2.8	1779	1779.1	20.9	20.9	Isoform 6 of Prostaglandin G/H synthase 1	1	1	1.29e+08	2.8%
	0.536	-0.561	1.255	1.767	1.281	0.892	0.88	1.914	0.928	1.833	Q9HAV0	Q9HAV0	1	2	2	2	Q9HAV0|P62879|P62873|P62873-2|E7EP32|B3KVK2|P62879-2	HUMAN	38308.2	7	1780	1780.1	20.86	20.86	Guanine nucleotide-binding protein subunit beta-4	2	2	5830000	7.0%
0.322	0.396	-0.574	3.519	3.632	3.619	3.703	3.72	4.104	3.522	4.154	P17948	P17948	1	2	2	2	P17948	HUMAN	152648.7	1.4	1781	1781.1	20.84	20.84	Vascular endothelial growth factor receptor 1	2	2	7.52e+08	1.4%
1.38	-0.342		-0.804	-0.202	-0.406	0.72	-0.958	-1.613	-0.677	-0.854	TGGT1_278020-t26_1-p1	TGGT1_278020-t26_1-p1	1	2	2	2	TGGT1_278020-t26_1-p1	Toxoplasma_gondii_GT1	160852.3	1.1	1782	1782.1	20.82	20.82	TGGT1_278020	2	2	3.95e+08	1.1%
0	0.712	-0.834	3.093	2.895	2.972	2.959	3.06	4.294	3.088	4.35	P10620	P10620	1	2	2	2	P10620|P10620-2|F5H613	HUMAN	17655.4	16.7	1783	1783.1	20.77	20.77	Microsomal glutathione S-transferase 1	2	2	2.87e+08	16.7%
											F5H619	F5H619	1	1	1	1	F5H619|Q86XA9|Q86XA9-2	HUMAN	226066	0.8	1784	1784.1	20.76	20.76	HEAT repeat-containing protein 5A	1	1	13400000	0.8%
-0.279	1.193	-0.173	3	2.649	1.894	2.267	2.145	2.701	1.889	3.463	O75569	O75569	1	2	2	2	O75569|G5E9Q4|O75569-2|O75569-3|F8WEG8	HUMAN	34860	7.3	1785	1785.1	20.75	20.75	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	2	2	23300000	7.3%
0	0.481	-0.783	2.992	2.562	2.705	2.688	2.896	4.219	2.731	4.422	P79101	P79101	1	2	2	2	P79101|Q9UKF6|G5E9W3	BOVIN	78114.2	2.7	1786	1786.1	20.73	20.73	Cleavage and polyadenylation specificity factor subunit 3	2	2	86400000	2.7%
0.038	0.737	-0.507	1.755	1.721	1.805	1.972	1.912	2.05	1.888	2.311	Q96IJ6-2	Q96IJ6-2	1	2	2	2	Q96IJ6-2|Q96IJ6|A0A087WUI8	HUMAN	52359.2	4.8	1787	1787.1	20.68	20.68	Isoform 2 of Mannose-1-phosphate guanyltransferase alpha	2	2	4.61e+08	4.8%
											A0A0A0MSI8	A0A0A0MSI8	1	1	1	1	A0A0A0MSI8|O00471|F8W9B8	HUMAN	83144.7	2.5	1788	1788.1	20.66	20.66	Exocyst complex component 5	1	1	5520000	2.5%
											Q69YH5	Q69YH5	1	2	2	2	Q69YH5|E9PEI0	HUMAN	114214.8	4.2	1789	1789.1	20.66	20.66	Cell division cycle-associated protein 2	2	2	14100000	4.2%
0	0.427	-0.329	1.052	1.015	0.709	0.86	0.909	1.357	0.839	1.273	J3KQN4	J3KQN4	1	2	2	2	J3KQN4|Q969Q0|P83881|H7BZ11|H0Y5B4	HUMAN	16663.2	11.2	1790	1790.1	20.66	20.66	60S ribosomal protein L36a	2	2	3.4e+09	11.2%
0.261	0	-0.868	2.771	3.951	2.431	1.978	1.653	2.596	1.99	2.648	P02662	P02662	1	2	2	2	P02662	BOVIN	24585.5	10.2	1791	1791.1	20.65	20.65	Alpha-S1-casein Michrom mix 6	2	2	1.76e+08	10.2%
0	0.283	-0.525	2.877	2.644	2.723	2.7	2.866	3.552	2.835	3.531	Q9Y2R4	Q9Y2R4	1	2	2	2	Q9Y2R4	HUMAN	67839.2	3.6	1792	1792.1	20.65	20.65	Probable ATP-dependent RNA helicase DDX52	2	2	94100000	3.6%
0	0.892	-2.621	3.856	3.92	3.974	4.2	4.093	4.824	4.036	4.969	Q14320	Q14320	1	2	2	2	Q14320	HUMAN	40240.9	6.1	1793	1793.1	20.61	20.61	Protein FAM50A	2	2	1.47e+08	6.1%
-0.103	0.167	-0.704	2.718	2.825	3.253	3.314	3.079	4.367	2.964	4.624	O43896	O43896	1	3	2	2	O43896|O60333-3|O60333-4|O60333|Q4R9M9|Q12756-2|Q12756-3|A0A087WWA3|O60333-2|Q12756	HUMAN	123800.2	2.4	1794	1794.1	20.6	20.6	Kinesin-like protein KIF1C	3	3	9.15e+08	2.4%
											P05386	P05386	1	1	1	1	P05386	HUMAN	11627.8	14	1795	1795.1	20.59	20.59	60S acidic ribosomal protein P1	1	1	1.1e+08	14.0%
	0.75	-1.148	2.997	2.92	3.215	2.932	3.194	4.204	3.092	4.29	P49441	P49441	1	2	2	2	P49441	HUMAN	44567.7	5.2	1796	1796.1	20.59	20.59	Inositol polyphosphate 1-phosphatase	2	2	2.3e+08	5.2%
0.153		-0.35	1.94	1.937	2.065	2.176	1.918	1.713	2.095	1.924	P23497-4	P23497-4	1	2	2	2	P23497-4|P23497|P23497-3|P23497-2|P23497-5|E9PHV6|P23497-6	HUMAN	103285	1.9	1797	1797.1	20.58	20.58	Isoform Sp100-C of Nuclear autoantigen Sp-100	2	2	56500000	1.9%
0	0.287	-1.278	2.735	2.697	2.821	2.875	2.909	3.448	2.746	3.622	O00541	O00541	1	2	2	2	O00541|O00541-2|B5MCF9|B3KXD6	HUMAN	68400.8	3	1798	1798.1	20.57	20.57	Pescadillo homolog	2	2	1.02e+08	3.0%
-0.014	0.771	-0.418	3.099	3.358	3.588	3.246	3.59	4.665	3.263	4.846	Q8WWN8	Q8WWN8	1	2	2	2	Q8WWN8|G5E9Y3|Q8WWN8-2	HUMAN	171609.8	2	1799	1799.1	20.56	20.56	Arf-GAP with Rho-GAP domain ANK repeat and PH domain-containing protein 3	2	2	22100000	2.0%
	0.923	-1.115	1.697	2.451	1.687	1.24	1.658	3.112	1.852	3.497	P49662	P49662	1	2	2	2	P49662|P49662-2|P49662-4|P49662-5|P49662-3	HUMAN	43832	7.6	1800	1800.1	20.52	20.52	Caspase-4	2	2	29200000	7.6%
											Q8NFH3	Q8NFH3	1	1	1	1	Q8NFH3|Q8NFH3-2	HUMAN	42606.5	7.1	1801	1801.1	20.52	20.52	Nucleoporin Nup43	1	1	5570000	7.1%
0.118	0.334	-0.782	2.992	3.072	3.418	3.232	3.154	4.035	3.083	4.096	Q96T37	Q96T37	1	2	2	2	Q96T37|Q96T37-3|Q96T37-2|A0A087WWP4|Q96T37-4	HUMAN	107414.9	3	1802	1802.1	20.51	20.51	Putative RNA-binding protein 15	2	2	93200000	3.0%
0	0.574	-0.324	2.52	2.486	2.399	2.721	2.586	4.481	2.564	4.815	Q99700	Q99700	1	2	2	2	Q99700|Q99700-4|V9GY86|F8VQP2|F8WB06|Q99700-5|Q99700-2	HUMAN	140907.9	1.7	1803	1803.1	20.51	20.51	Ataxin-2	2	2	56500000	1.7%
0	0.409	-1.02	3.4	3.189	3.433	3.396	3.586	4.845	3.566	4.933	Q96K49	Q96K49	1	2	2	2	Q96K49|Q96K49-2	HUMAN	64219.7	3.4	1804	1804.1	20.46	20.46	Transmembrane protein 87B	2	2	1.23e+08	3.4%
0	0.676	-0.382	2.953	2.682	3.011	2.921	3.069	3.497	2.842	3.768	Q9Y2L5	Q9Y2L5	1	2	2	2	Q9Y2L5|J3QQJ5|Q9Y2L5-2|J3KSL8|J3QSA1	HUMAN	162648.8	1.3	1805	1805.1	20.43	20.43	Trafficking protein particle complex subunit 8	2	2	21400000	1.3%
											Q5PRF9	Q5PRF9	1	1	1	1	Q5PRF9|M0QZ22|A0A087WZT0	HUMAN	75938.6	2.1	1806	1806.1	20.41	20.41	Protein Smaug homolog 2	1	1	1600000	2.1%
0	0.445	-0.351	3.598	4	3.805	4.211	3.786	4.788	3.75	4.964	Q9BX63	Q9BX63	1	2	2	2	Q9BX63|Q9BX63-2|J3QSE8	HUMAN	142871.9	1.9	1807	1807.1	20.39	20.39	Fanconi anemia group J protein	2	2	40800000	1.9%
-0.139	0.445		2.934	2.858	3.097	2.805	2.988	4.35	2.914	4.425	O95476	O95476	1	2	2	2	O95476|I3L4W0|I3L2R5	HUMAN	28490.6	13.5	1808	1808.1	20.37	20.37	CTD nuclear envelope phosphatase 1	2	2	94100000	13.5%
0	0.643	-0.787	2.349	2.707	2.683	2.632	2.424	2.737	2.229	3.05	Q9BT92	Q9BT92	1	2	2	2	Q9BT92	HUMAN	61184.8	3	1809	1809.1	20.34	20.34	Trichoplein keratin filament-binding protein	2	2	5.1e+08	3.0%
	0.203	-0.941	2.652	2.459	2.666	2.583	2.85	3.76	2.557	3.796	Q66K14	Q66K14	1	2	2	2	Q66K14|Q66K14-2|E5RIN2	HUMAN	141663.3	2.4	1810	1810.1	20.29	20.29	TBC1 domain family member 9B	2	2	24900000	2.4%
0	0.221	-0.967	2.669	2.728	2.704	2.601	2.828	3.72	2.679	3.844	P19784	P19784	1	2	2	2	P19784	HUMAN	41383.6	9.1	1811	1811.1	20.23	20.23	Casein kinase II subunit alpha'	2	2	28800000	9.1%
	0.987		3.032	2.999	3.351	4.569	3.331		3.293	1.544	Q9NXV6	Q9NXV6	1	1	1	1	Q9NXV6	HUMAN	61580.3	2.7	1812	1812.1	20.21	20.21	CDKN2A-interacting protein	1	1	2180000	2.7%
	0.771		2.79	2.086	2.036	2.4	2.477	3.938	2.201	4.113	Q8N0Y7	Q8N0Y7	1	1	1	1	Q8N0Y7|P15259|P18669	HUMAN	28947.5	5.5	1813	1813.1	20.19	20.19	Probable phosphoglycerate mutase 4	1	1	59100000	5.5%
-0.016	0.905	-0.414	3.105	3.358	3.373	3.381	3.537	5.797	3.265	5.846	Q9UFF9	Q9UFF9	1	2	2	2	Q9UFF9|Q9UFF9-3|Q9UFF9-2|B7Z9U0|E5RHL9	HUMAN	33824.8	8.5	1814	1814.1	20.19	20.19	CCR4-NOT transcription complex subunit 8	2	2	79200000	8.5%
	0.393	-0.675	2.34	1.814	2.5	1.804	2.66	3.892	2.291	4.148	Q8N884	Q8N884	1	1	1	1	Q8N884|Q8N884-2	HUMAN	59498.1	3.2	1815	1815.1	20.14	20.14	Cyclic GMP-AMP synthase	1	1	8060000	3.2%
0	1.37	-0.634	3.158	2.964	2.768	2.892	2.846	4.145	2.67	4.177	Q00653	Q00653	1	2	2	2	Q00653|Q00653-4|Q00653-3	HUMAN	97432.1	2.8	1816	1816.1	20.07	20.07	Nuclear factor NF-kappa-B p100 subunit	2	2	37200000	2.8%
-0.029	0.954	-0.694	3.346	3.456	3.392	3.415	3.446	4.534	3.502	4.737	Q9HC62	Q9HC62	1	2	2	2	Q9HC62|Q9HC62-2	HUMAN	68652.1	5.4	1817	1817.1	20.07	20.07	Sentrin-specific protease 2	2	2	1.9e+07	5.4%
0.077	0.03	-2.656	2.884	2.605	2.79	2.659	2.867	3.205	2.827	3.426	Q9BTE3	Q9BTE3	1	2	2	2	Q9BTE3|Q9BTE3-2	HUMAN	73834.6	3.2	1818	1818.1	20.04	20.04	Mini-chromosome maintenance complex-binding protein	2	2	1.73e+08	3.2%
0	0.489	-0.434	3.587	3.457	3.449	3.492	3.607	2.568	4.009	2.92	Q9H5V9	Q9H5V9	1	2	1	1	Q9H5V9|Q9H5V9-3|Q9H5V9-2	HUMAN	26023.5	4.9	1819	1819.1	19.97	19.97	UPF0428 protein CXorf56	1	2	70500000	4.9%
											C9JXA7	C9JXA7	1	1	1	1	C9JXA7|Q0VGL1|A0A087WV46	HUMAN	14347.1	31.3	1820	1820.1	19.94	19.94	Ragulator complex protein LAMTOR4	1	1	3280000	31.3%
0	0.98	-0.775	3.217	3.185	3.448	3.314	3.328	4.352	3.288	4.512	Q9UNL2-2	Q9UNL2-2	1	2	1	1	Q9UNL2-2|Q9UNL2|C9JA28	HUMAN	22666.9	7	1821	1821.1	19.92	19.92	Isoform 2 of Translocon-associated protein subunit gamma	1	2	2.15e+08	7.0%
0.145	0.337	-0.863	2.962	3.044	3.045	3.322	3.225	3.384	3.141	3.634	O95183	O95183	1	2	2	2	O95183	HUMAN	12975.8	16.3	1822	1822.1	19.9	19.9	Vesicle-associated membrane protein 5	2	2	2.64e+08	16.3%
0.987		-0.285	4.198	4.146	4.311	5.266	4.392	0.095	4.293	1.411	Q12770	Q12770	1	2	2	2	Q12770|A0A0A0MTG6|Q12770-2|Q12770-4	HUMAN	141666.3	2.8	1823	1823.1	19.88	19.88	Sterol regulatory element-binding protein cleavage-activating protein	2	2	1.8e+07	2.8%
											O95336	O95336	1	1	1	1	O95336|M0R0U3	HUMAN	27831.6	10.8	1824	1824.1	19.88	19.88	6-phosphogluconolactonase	1	1	3530000	10.8%
0	0.495	-0.511	3.006	3.268	3.331	3.311	3.184	4.721	3.108	4.728	P60903	P60903	1	3	1	1	P60903	HUMAN	11317	17.5	1825	1825.1	19.87	19.87	Protein S100-A10	1	3	1.04e+09	17.5%
											Q8N138	Q8N138	1	1	1	1	Q8N138|Q8N138-4	HUMAN	17494.3	9.1	1826	1826.1	19.85	19.85	ORM1-like protein 3	1	1	4610000	9.1%
0	0.62	-1.328	2.753	3.484	2.968	2.882	2.835	4.027	2.994	4.042	Q8IXQ6	Q8IXQ6	1	3	3	3	Q8IXQ6|Q8IXQ6-2|Q8IXQ6-3|G5E9U8	HUMAN	97368.5	6	1827	1827.1	19.84	19.84	Poly [ADP-ribose] polymerase 9	3	3	30600000	6.0%
1.353	0	-0.465	1.487	0.233	1.252	0.159	1.331	1.485	1.372	2.572	TGGT1_311230-t26_1-p1	TGGT1_311230-t26_1-p1	1	2	2	2	TGGT1_311230-t26_1-p1	Toxoplasma_gondii_GT1	499479.6	0.7	1828	1828.1	19.83	19.83	TGGT1_311230	2	2	4830000	0.7%
0	0.764	-0.736	3.221	2.948	3.118	3.24	3.276	4.42	3.13	4.5	Q96K37	Q96K37	1	2	2	2	Q96K37|Q96K37-2	HUMAN	45114	6.3	1829	1829.1	19.8	19.8	Solute carrier family 35 member E1	2	2	1.51e+08	6.3%
-0.004	0.201	-0.245	-0.624	-2.177	-0.123	-1.032	-0.283	-0.974	-0.225	-0.585	TGGT1_293590-t26_1-p1	TGGT1_293590-t26_1-p1	1	2	2	2	TGGT1_293590-t26_1-p1	Toxoplasma_gondii_GT1	59021.1	3.4	1830	1830.1	19.8	19.8	TGGT1_293590	2	2	91800000	3.4%
0.115	-0.298		2.834	2.917	2.748	2.793	2.469	2.913	2.902	3.21	Q9P2K1	Q9P2K1	1	1	1	1	Q9P2K1|Q9P2K1-2	HUMAN	186866.5	0.7	1831	1831.1	19.77	19.77	Coiled-coil and C2 domain-containing protein 2A	1	1	5870000	0.7%
0.362		-1.045	1.781	1.66	1.89	1.911	1.62	2.125	1.625	2.074	O95340-2	O95340-2	1	2	2	2	O95340-2|O95340	HUMAN	70539.6	5.1	1832	1832.1	19.74	19.74	Isoform B of Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	2	2	30500000	5.1%
-0.466	0.557		3.188	3.366	3.443	3.391	3.343	4.196	3.612	4.13	E9PAV3	E9PAV3	1	1	1	1	E9PAV3|E9PAV3-2|Q13765|F8VZJ2	HUMAN	206102.3	0.7	1833	1833.1	19.73	19.73	Nascent polypeptide-associated complex subunit alpha muscle-specific form	1	1	17900000	0.7%
	0.687	-0.361	3.299	3.583	3.351	3.56	3.454	4.83	3.517	4.933	Q53S48	Q53S48	1	2	2	2	Q53S48|Q9Y6Q2-2|Q9Y6Q2-3|Q9Y6Q2	HUMAN	133450.3	1.6	1834	1834.1	19.73	19.73	STON1-GTF2A1L readthrough	2	2	34600000	1.6%
											O75947	O75947	1	1	1	1	O75947|O75947-2|F5H608	HUMAN	18547.9	9.9	1835	1835.1	19.71	19.71	ATP synthase subunit d mitochondrial	1	1	1.07e+09	9.9%
0	0.099	-0.625	2.478	2.504	2.569	2.66	2.635	3.405	2.615	3.55	O43615	O43615	1	3	3	3	O43615|M0R124	HUMAN	51697.1	7.9	1836	1836.1	19.67	19.67	Mitochondrial import inner membrane translocase subunit TIM44	3	3	75100000	7.9%
0	0.773	-0.466	2.803	2.958	2.906	2.713	2.935	4.343	2.909	4.312	Q70CQ2	Q70CQ2	1	3	3	3	Q70CQ2|Q70CQ2-2|Q70CQ2-3	HUMAN	409988.3	1.1	1837	1837.1	19.63	19.63	Ubiquitin carboxyl-terminal hydrolase 34	3	3	28600000	1.1%
0	0.205	-0.618	3.349	3.553	3.563	3.542	3.629	4.294	3.524	4.675	Q9NRP0-2	Q9NRP0-2	1	2	1	1	Q9NRP0-2|Q9NRP0|A0A087WUD3	HUMAN	19399	7	1838	1838.1	19.63	19.63	Isoform 2 of Oligosaccharyltransferase complex subunit OSTC	1	2	94600000	7.0%
											TGGT1_232410-t26_1-p1	TGGT1_232410-t26_1-p1	1	2	2	2	TGGT1_232410-t26_1-p1	Toxoplasma_gondii_GT1	25023	15	1839	1839.1	19.55	19.55	TGGT1_232410	2	2	14500000	15.0%
	0.385		2.505	1.925	2.326	2.402	2.59	5.253	2.149	5.393	Q9Y3Q8	Q9Y3Q8	1	1	1	1	Q9Y3Q8|Q9Y3Q8-2	HUMAN	41082.3	3	1840	1840.1	19.54	19.54	TSC22 domain family protein 4	1	1	46100000	3.0%
	1.652		3.392	3.168	3.336	2.662	2.977	4.044	3.163	4.191	P48553	P48553	1	1	1	1	P48553|A0A096LPH7	HUMAN	143898	1.5	1841	1841.1	19.53	19.53	Trafficking protein particle complex subunit 10	1	1	44400000	1.5%
0.052	0	-0.581	2.877	2.613	3.08	2.701	3.075	2.312	2.893	2.584	Q6NUQ4	Q6NUQ4	1	2	2	2	Q6NUQ4|Q6NUQ4-2	HUMAN	78004.9	2.3	1842	1842.1	19.5	19.5	Transmembrane protein 214	2	2	68200000	2.3%
0	0.155	-0.648	-0.553	-0.775	-0.237	-0.747	-0.363	0.487	-0.505	0.811	TGGT1_215100-t26_1-p1	TGGT1_215100-t26_1-p1	1	3	3	3	TGGT1_215100-t26_1-p1	Toxoplasma_gondii_GT1	262925.3	1.4	1843	1843.1	19.49	19.49	TGGT1_215100	3	3	1.08e+09	1.4%
0	0.694	-0.868	2.947	2.718	3.112	2.838	3.017	4.22	3.075	4.352	Q9UKY7	Q9UKY7	1	2	2	2	Q9UKY7|Q9UKY7-2|D6R9V8	HUMAN	27334.4	5.4	1844	1844.1	19.47	19.47	Protein CDV3 homolog	2	2	2.51e+08	5.4%
0	0.12	-0.919	1.469	1.411	1.648	1.799	1.621	1.388	1.558	1.769	P43235	P43235	1	2	2	2	P43235|P07711|O60911|Q5T8F0|Q5NE16	HUMAN	37421.8	4.5	1845	1845.1	19.46	19.46	Cathepsin K	2	2	1.82e+08	4.5%
-0.446	0.218	-0.512	1.719	1.8	1.927	1.769	1.765	2.938	1.881	2.889	Q13242	Q13242	1	2	2	2	Q13242|S4R3G0	HUMAN	25655.9	7.6	1846	1846.1	19.43	19.43	Serine/arginine-rich splicing factor 9	2	2	36700000	7.6%
0.207	0	-1.143	3.095	3.009	3.275	3.511	3.432	3.802	3.144	3.914	Q9BQB6	Q9BQB6	1	3	1	1	Q9BQB6|Q9BQB6-2|F8W9H0|Q9BQB6-3	HUMAN	18633.6	7.9	1847	1847.1	19.38	19.38	Vitamin K epoxide reductase complex subunit 1	1	3	9.15e+08	7.9%
											Q9H7D0	Q9H7D0	1	2	2	2	Q9H7D0	HUMAN	216331.8	1.3	1848	1848.1	19.34	19.34	Dedicator of cytokinesis protein 5	2	2	13800000	1.3%
0	0.31	-0.176	2.946	3.181	4.414	4.045	3.348	4.381	2.962	4.531	O75717	O75717	1	3	3	3	O75717|O75717-2	HUMAN	127448.5	2.7	1849	1849.1	19.29	19.29	WD repeat and HMG-box DNA-binding protein 1	3	3	9.8e+07	2.7%
0.242	0.052	-0.525	2.338	2.425	2.825	2.768	2.483	3.366	2.483	3.871	Q9BTC0	Q9BTC0	1	2	2	2	Q9BTC0	HUMAN	245579.9	0.8	1850	1850.1	19.29	19.29	Death-inducer obliterator 1	2	2	1.18e+08	0.8%
	0.655	-0.067	3.01	2.997	2.864	2.934	2.968	4.939	2.94	5.117	O75420	O75420	1	2	2	2	O75420	HUMAN	115112.8	2.2	1851	1851.1	19.25	19.25	GRB10-interacting GYF protein 1	2	2	22900000	2.2%
											Q9Y487	Q9Y487	1	1	1	1	Q9Y487|Q8TBM3	HUMAN	99164.6	1.5	1852	1852.1	19.25	19.25	V-type proton ATPase 116 kDa subunit a isoform 2	1	1	28800000	1.5%
0.411	0.179	-0.014	3.053	2.993	2.992	3.202	3.314	2.122	2.893	2.269	Q13443	Q13443	1	2	2	2	Q13443|A0AVL1|Q13443-2|F8WC54	HUMAN	93064.8	3.4	1853	1853.1	19.18	19.18	Disintegrin and metalloproteinase domain-containing protein 9	2	2	35600000	3.4%
-0.038	0.59	-0.657	1.532	0.608	1.697	0.441	1.625	1.71	1.767	2.142	TGGT1_305850-t26_1-p1	TGGT1_305850-t26_1-p1	1	2	2	2	TGGT1_305850-t26_1-p1	Toxoplasma_gondii_GT1	39395.5	4.8	1854	1854.1	19.18	19.18	TGGT1_305850	2	2	53300000	4.8%
1.097		-1.064	0.74	1.215	1.466	1.799	0.577	0.524	0.62	0.923	P55001	P55001	1	1	1	1	P55001|P55001-2|P55001-3	HUMAN	21566.9	5.4	1855	1855.1	19.17	19.17	Microfibrillar-associated protein 2	1	1	4.97e+08	5.4%
-0.002	0.444	-0.349	3.205	3.193	3.332	3.316	3.085	2.53	3.009	3.028	Q9BZ95	Q9BZ95	1	2	2	2	Q9BZ95|Q9BZ95-5|Q9BZ95-2|Q9BZ95-4|Q9BZ95-3	HUMAN	165432.8	1.4	1856	1856.1	19.16	19.16	Histone-lysine N-methyltransferase NSD3	2	2	5.07e+10	1.4%
-0.515	0.967	-0.284	2.053	2.397	1.976	2.025	1.978	3.482	2.392	3.439	Q8TB52	Q8TB52	1	3	2	2	Q8TB52	HUMAN	84299.8	3.7	1857	1857.1	19.15	19.15	F-box only protein 30	2	3	4.04e+08	3.7%
0.029	0.242	-0.876	2.826	2.732	3.01	2.983	2.917	3.699	2.965	3.776	P39656	P39656	1	2	2	2	P39656|P39656-3|A0A0C4DGS1|P39656-2	HUMAN	50971	5.7	1858	1858.1	19.14	19.14	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	2	2	4.49e+08	5.7%
0	1.064	-1.334	3.49	3.838	3.645	3.929	3.846	4.798	3.843	4.971	O60783	O60783	1	2	1	1	O60783	HUMAN	15252.6	11.7	1859	1859.1	19.12	19.12	28S ribosomal protein S14 mitochondrial	1	2	1.87e+08	11.7%
0.183			3.754	3.579	3.967	3.659	4.06	4.219	4.188	4.078	Q5SWX8	Q5SWX8	1	1	1	1	Q5SWX8|Q5SWX8-2|Q5SWX8-4|Q5SWX8-3	HUMAN	51729.8	4.4	1860	1860.1	19.12	19.12	Protein odr-4 homolog	1	1	2440000	4.4%
-0.716	0.035		0.748	0.008	-0.07	0.256	-0.17	1.01	0.093	1.273	Q8N241	Q8N241	1	2	2	2	Q8N241|Q9UBY9-2|Q68DG0|Q9UBY9|D3YTC6	HUMAN	27668.6	5.3	1861	1861.1	19.11	19.11	Heat shock 27kDa protein family member 7 (Cardiovascular), isoform CRA_c	2	2	23700000	5.3%
											TGGT1_242330-t26_1-p1	TGGT1_242330-t26_1-p1	1	1	1	1	TGGT1_242330-t26_1-p1	Toxoplasma_gondii_GT1	21898	14.5	1862	1862.1	19.11	19.11	TGGT1_242330	1	1	7e+06	14.5%
0	0.575	-1.514	3.174	3.329	3.184	3.417	3.405	5.161	3.304	5.212	P62993	P62993	1	2	2	2	P62993|P62993-2|J3QRL5	HUMAN	25320	7.8	1863	1863.1	19.1	19.1	Growth factor receptor-bound protein 2	2	2	4.38e+08	7.8%
0	0.36	-0.03	2.466	2.435	2.506	2.429	2.701	3.952	2.7	4.019	A1A4S6	A1A4S6	1	3	3	3	A1A4S6	HUMAN	90000.6	4.3	1864	1864.1	19.08	19.08	Rho GTPase-activating protein 10	3	3	1.29e+08	4.3%
-0.425	1.21		3.187	3.086	3.192	2.964	3.363	5.39	2.878	5.511	O43822-4	O43822-4	1	1	1	1	O43822-4|O43822|O43822-3|O43822-2	HUMAN	41276.9	3.4	1865	1865.1	19.08	19.08	Isoform 4 of Protein C21orf2	1	1	19300000	3.4%
